,pid,bonus
130,677998c8a12513f6bb2f6fa7,0.5
131,57c725d89a5f4f0001f661bd,0.5
132,673c7edbfd71cf24407aff14,0.4
133,677bf91f15a073dd84d98910,0.4
134,6717d229f9d47ffc077ae90c,0.8
135,66d11cef1c98e8d3687a50a8,0.8
136,677d54225d6d9c9d5e0c8b84,0.8
137,6742864af334030ad769a482,0.8
138,67035d8d5bc7785d325528a2,0.5
139,677d343f512e31df8016a8f3,0.2
140,669a9e052cc32d5a552d2fe8,0.5
141,671469967e2a4f2e612e3846,0.6
142,677e687b4fe041287b17a704,0.3
143,6685596264a893c52b84d8dd,0.5
144,67648f409b333ea6af52ab13,0.5
145,673a2f3b6b8053c43040290b,0.4
146,65c23bc14403953997a1553a,0.4
147,66e36c2a42057ef4775c2595,0.5
148,66e32dbcfaa81f2dab82b77f,0.8
149,5e1a7114a90da52e206de7ea,0.4
150,6751d96bc9598354787e6f4c,0.6
151,6716ccea77cd75e998d0482a,0.6
152,675dc6c9fc6a726a347908a2,0.6
153,673219445982b7e6a1bdaa4b,0.5
154,677d6744a99424808eaf4743,0.4
155,66293af123d55f1dadad5ceb,1.0
156,663a63ecb5159902d6165063,0.5
157,66c3bdcaeef3aa970f90c75e,0.5
158,6763746b102433fb300c6a2e,0.7
159,6715004e41bafc7a675c7159,0.6
160,66d54cfbd72cc14a56a2fe03,0.8
161,67511b1497ff44e336a37e44,0.2
162,5e79aad7e135bf568f21f2a0,0.2
163,6399b9c8763477aa4081cbde,0.4
164,670462bd21b2c66ce01dfbc8,0.5
165,67796a041cd587525230db1a,0.5
166,65eb62372c2fe9655a1fb9f1,0.7
167,67546e141f7296dd962e2314,0.6
168,6728d762246b9774a9605b30,0.7
169,65cd164122345f20629bede9,0.6
170,672124df9413124330a1bb1e,0.4
171,672166c613ae45d2990702b6,0.4
172,664f72c5d72f85c6cd81ae82,0.5
173,677c9b82a75ed75ca16de4f2,0.7
174,674f3a4aeb4a11e4438365f5,0.8
175,6716942b6ff4372fb1c7c1fd,0.7
176,677ab5c423d3e85a3a5cf717,0.4
177,676d20aec1f91b8f85bd3471,0.6
178,6775914210691f008b2ac2a6,0.6
179,674a1bb62608cdfa9f8f2666,0.5
180,5f489766dbc4a2364c0f4f93,0.6
181,6127c369bdff7dc17f0724a2,1.0
182,65bcf630884d98c9ed27bf62,1.0
183,67645a8359ebabb5492f4df1,1.0
184,663e638df48d765486d59a0f,0.4
185,672bfd5fc3fb3f5421bb0d68,0.8
186,63d41266a56171a730560141,0.5
187,677b2fd894388e138823d3ed,0.7
188,677fba50be5fed1cc09bd9b9,0.5
189,669ecb74a180f0e4cdb17b6d,0.7
190,5d6ce011783298001a763627,0.5
191,66672fb31bca13baa918289e,0.8
192,676df3c50497055e88045b2a,0.6
193,673883454a478ef828e96066,0.6
194,660dab898e5abe34444031b4,0.5
195,6632541d67ff015d18ac2d31,0.4
196,67608d064e98db52abd12de4,0.7
197,66f876596489c84002334d5c,0.5
198,67636d9a9b413ee6c8f5439f,0.4
199,673124dcad4459e2ccd95207,0.7
200,6738f22ad48db279c079570d,0.7
201,672cb2e53a820876c084fcf5,0.0
202,67629fd0a00c37a3a6fc357f,0.7
203,66e7a809808daaac1a79dd40,0.2
204,5d4efe300691a6000193557f,0.7
205,677f9477cbb7551dd89dce72,0.6
206,6110da394d33b556587e8759,0.5
207,677d3b676231cf69d063b574,0.1
208,665a2495a0c87db18a2693b0,0.2
209,67337b9fcd8ebffe61234019,0.7
210,65cead31ddb7be095dddd3ee,0.3
211,675e89c2b5814894c3953984,0.6
212,669ff53556ef9a4ea2635e9a,0.6
213,673bf36429e2fe78aa0c3fbb,0.7
214,5efb31fa8cd32f04bf048643,0.7
215,60c119b30aa5205b493541b6,0.7
216,6629595cfd8e2435f8bd3980,0.5
217,675e6ec41496e8d2d3ea4a6b,0.5
218,664cf6d78f53d4a917230e0c,0.3
219,673577313f15ba2f9983f903,0.4
220,6772c6e997df82192353cde6,0.6
221,674eea22d29e81b713dbfb4d,0.2
222,6741952bc1bf313739497ac2,0.7
223,669d2ddaeb487cc3a0404489,0.6
224,677e36f55dca916ab850c78e,0.3
225,671d2abf2ba7384f9b45678a,0.4
226,667d81a95170bdd075f74203,0.4
227,67534248b7588e814ce155e6,0.5
228,6647b26b402c0a3c5ab8b0cd,0.4
229,66383c770fa2282d48e08095,1.0
230,672bf480b98fd6d326fd1f69,0.7
231,61005a9bfd2f14f18ef7ec7d,0.8
232,65958f57929aaa555306baf9,0.8
233,66368e07daade0b66219cab8,0.5
234,66d87a86976e6622bb873a30,0.5
235,677c892ad2a80c70b4db97aa,0.7
236,612517df29cd32c6632b4a44,0.6
237,669065b3f32d0553ca1a5c02,1.0
238,676d44f7ab535e89227b23d7,0.4
239,6726f38cd14d8ba8644f2bcf,0.5
240,66a7c30312380c7b49ff5929,0.5
241,6168e3efc08671bd92f7fd37,0.8
242,65f6e1abe3931d0da1de33dd,0.8
243,673be3c4a9dcb6065372c8c4,0.3
244,63d402b2f682044b07f30260,0.6
245,66a1b601c757d7182980cbc2,0.7
246,65f2b68657e213cc7cb1ca54,0.6
247,555a3c31fdf99b10a9d1b279,0.7
248,66a27fea2b5ab9c4e74fe6ca,0.6
249,664223ef24fe120dff73fc82,0.7
250,5e88dd7a0febe805d3a120b6,0.5
251,6655e7e5c761cfc848f0cac3,0.8
252,663f1b06f604d9297d8d9d17,0.7
253,676d4f5f00a6e457cfe1fd23,0.6
254,6717f14eff5f79e1b9ad3df4,0.9
255,55bb9ae7fdf99b26d27fda01,0.5
256,67843bb2705852549a910c50,0.4
257,60ca846ffad77e5b1fee110a,0.3
258,6604664cb53a76971c8a1dce,0.5
259,66888bccec8402c63d5e2c94,0.5
260,5e51bd7888c3051f86b49096,0.8
261,6392360efb6e254ffd31e722,0.9
262,667dff584b72be8e8cf6b196,0.7
263,6646d66dff946ef256719adf,0.3
264,67346c0008508dd13cbe82ba,0.8
265,677e75b259b7f06d0c32d86e,0.8
266,6775b6fab99aed60c76e9b66,0.8
267,674699bbbc9f7d1415df5312,0.3
268,672257bc1a2a2082750a1a44,0.5
269,661562e4e67b59f945430148,0.2
270,6704b1e00ef5effbfbfc5b31,0.2
271,67438f3f49b45eb9cf85d218,0.8
272,6737de14dd04abff960e1376,0.1
273,674a3b475010cd01c14b172c,0.3
274,66885d217777eda6f3a9b8dd,0.4
